abandoned,air traffic control tower,belltower,bridge,casino,city,city_id,commercial,completed.year,country,country id,current,education,exhibition,floors above,government,height,hospital,hotel,id,industrial,is completed,is started,latitude,library,longitude,material,multiple,museum,name,number of purposes,observation,office,other,rank,religious,residential,retail,serviced apartments,started.year,telecommunications
FALSE,FALSE,FALSE,FALSE,FALSE,Chicago,1539,FALSE,1990,US,163,completed,FALSE,FALSE,65,FALSE,292.9200134,FALSE,FALSE,563,FALSE,TRUE,TRUE,41.87739182,FALSE,-87.63555908,concrete,FALSE,FALSE,311 South Wacker Drive,1,FALSE,TRUE,FALSE,49,FALSE,FALSE,FALSE,FALSE,1988,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,New York City,1641,FALSE,1932,US,163,completed,FALSE,FALSE,67,FALSE,290.1700134,FALSE,FALSE,18405,FALSE,TRUE,TRUE,40.70634079,FALSE,-74.00766754,steel,FALSE,FALSE,70 Pine,1,FALSE,TRUE,FALSE,50,FALSE,FALSE,FALSE,FALSE,1930,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,New York City,1641,FALSE,0,US,163,vision,FALSE,FALSE,57,FALSE,289.5599976,FALSE,FALSE,12389,FALSE,FALSE,FALSE,0,FALSE,0,concrete,FALSE,FALSE,SNCI NYC Tower,1,FALSE,FALSE,FALSE,51,FALSE,TRUE,FALSE,FALSE,0,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,Cleveland,1543,FALSE,1991,US,163,completed,FALSE,FALSE,57,FALSE,288.6499939,FALSE,FALSE,585,FALSE,TRUE,TRUE,41.50099945,FALSE,-81.69390869,composite,FALSE,FALSE,Key Tower,1,FALSE,TRUE,FALSE,52,FALSE,FALSE,FALSE,FALSE,1988,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,Philadelphia,1657,FALSE,1987,US,163,completed,FALSE,FALSE,61,FALSE,288.0400085,FALSE,FALSE,593,FALSE,TRUE,FALSE,39.95256042,FALSE,-75.1681366,steel,FALSE,FALSE,One Liberty Place,1,FALSE,TRUE,FALSE,53,FALSE,FALSE,FALSE,FALSE,0,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,New York City,1641,FALSE,2016,US,163,architecturally topped out,FALSE,FALSE,67,FALSE,285.6000061,FALSE,TRUE,652,FALSE,TRUE,TRUE,40.71274948,FALSE,-74.00907898,concrete,FALSE,FALSE,30 Park Place,2,FALSE,FALSE,FALSE,54,FALSE,TRUE,FALSE,FALSE,2008,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,Seattle,1680,FALSE,1984,US,163,completed,FALSE,FALSE,76,FALSE,284.3800049,FALSE,FALSE,611,FALSE,TRUE,TRUE,47.60464096,FALSE,-122.3305969,composite,FALSE,FALSE,Columbia Center,1,FALSE,TRUE,FALSE,55,FALSE,FALSE,FALSE,FALSE,1982,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,New York City,1641,FALSE,1930,US,163,completed,FALSE,FALSE,71,FALSE,282.5499878,FALSE,FALSE,619,FALSE,TRUE,TRUE,40.70692062,FALSE,-74.00980377,steel,FALSE,FALSE,The Trump Building,1,FALSE,TRUE,FALSE,56,FALSE,FALSE,FALSE,FALSE,1929,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,Dallas,1554,FALSE,1985,US,163,completed,FALSE,FALSE,72,FALSE,280.7200012,FALSE,FALSE,630,FALSE,TRUE,TRUE,32.78004074,FALSE,-96.80393982,composite,FALSE,FALSE,Bank of America Plaza,1,FALSE,TRUE,FALSE,57,FALSE,FALSE,FALSE,FALSE,1983,FALSE
FALSE,FALSE,FALSE,FALSE,FALSE,New York City,1641,FALSE,1977,US,163,completed,FALSE,FALSE,63,FALSE,278.8999939,FALSE,FALSE,648,FALSE,TRUE,TRUE,40.75857162,FALSE,-73.97038269,steel,FALSE,FALSE,Citigroup Center,1,FALSE,TRUE,FALSE,58,FALSE,FALSE,FALSE,FALSE,1974,FALSE
